"○ 월.분기.연간 인구동향(출생,사망,혼인,이혼) [명, 건]",,,
행정구역별,종류별,시점,"출생,사망,혼인,이혼"
전국,출생아수(명),1994.01 월,70067
전국,출생아수(명),1994.02 월,67374
전국,출생아수(명),1994.03 월,63070
전국,출생아수(명),1994.04 월,60202
전국,출생아수(명),1994.05 월,59182
전국,출생아수(명),1994.06 월,54443
전국,출생아수(명),1994.07 월,56289
전국,출생아수(명),1994.08 월,56759
전국,출생아수(명),1994.09 월,58753
전국,출생아수(명),1994.10 월,59250
전국,출생아수(명),1994.11 월,57861
전국,출생아수(명),1994.12 월,57935
전국,출생아수(명),1995.01 월,67023
전국,출생아수(명),1995.02 월,65788
전국,출생아수(명),1995.03 월,65174
전국,출생아수(명),1995.04 월,55052
전국,출생아수(명),1995.05 월,55508
전국,출생아수(명),1995.06 월,53353
전국,출생아수(명),1995.07 월,54285
전국,출생아수(명),1995.08 월,57131
전국,출생아수(명),1995.09 월,59879
전국,출생아수(명),1995.10 월,61482
전국,출생아수(명),1995.11 월,59037
전국,출생아수(명),1995.12 월,61308
전국,출생아수(명),1996.01 월,67392
전국,출생아수(명),1996.02 월,62592
전국,출생아수(명),1996.03 월,63163
전국,출생아수(명),1996.04 월,56600
전국,출생아수(명),1996.05 월,54544
전국,출생아수(명),1996.06 월,50434
전국,출생아수(명),1996.07 월,52537
전국,출생아수(명),1996.08 월,54171
전국,출생아수(명),1996.09 월,57670
전국,출생아수(명),1996.10 월,60876
전국,출생아수(명),1996.11 월,55426
전국,출생아수(명),1996.12 월,55821
전국,출생아수(명),1997.01 월,63268
전국,출생아수(명),1997.02 월,58144
전국,출생아수(명),1997.03 월,62160
전국,출생아수(명),1997.04 월,56949
전국,출생아수(명),1997.05 월,55270
전국,출생아수(명),1997.06 월,50978
전국,출생아수(명),1997.07 월,53369
전국,출생아수(명),1997.08 월,53254
전국,출생아수(명),1997.09 월,55461
전국,출생아수(명),1997.10 월,57136
전국,출생아수(명),1997.11 월,53848
전국,출생아수(명),1997.12 월,55557
전국,출생아수(명),1998.01 월,60347
전국,출생아수(명),1998.02 월,56841
전국,출생아수(명),1998.03 월,60238
전국,출생아수(명),1998.04 월,54814
전국,출생아수(명),1998.05 월,52046
전국,출생아수(명),1998.06 월,49571
전국,출생아수(명),1998.07 월,50151
전국,출생아수(명),1998.08 월,49634
전국,출생아수(명),1998.09 월,53484
전국,출생아수(명),1998.10 월,52709
전국,출생아수(명),1998.11 월,50164
전국,출생아수(명),1998.12 월,51595
전국,출생아수(명),1999.01 월,58607
전국,출생아수(명),1999.02 월,53305
전국,출생아수(명),1999.03 월,57495
전국,출생아수(명),1999.04 월,52386
전국,출생아수(명),1999.05 월,50516
전국,출생아수(명),1999.06 월,46765
전국,출생아수(명),1999.07 월,48780
전국,출생아수(명),1999.08 월,48502
전국,출생아수(명),1999.09 월,51056
전국,출생아수(명),1999.10 월,52224
전국,출생아수(명),1999.11 월,50559
전국,출생아수(명),1999.12 월,50473
전국,출생아수(명),2000.01 월,61644
전국,출생아수(명),2000.02 월,56723
전국,출생아수(명),2000.03 월,59878
전국,출생아수(명),2000.04 월,53058
전국,출생아수(명),2000.05 월,52492
전국,출생아수(명),2000.06 월,46774
전국,출생아수(명),2000.07 월,48377
전국,출생아수(명),2000.08 월,50623
전국,출생아수(명),2000.09 월,52913
전국,출생아수(명),2000.10 월,54429
전국,출생아수(명),2000.11 월,52403
전국,출생아수(명),2000.12 월,50775
전국,출생아수(명),2001.01 월,56949
전국,출생아수(명),2001.02 월,49939
전국,출생아수(명),2001.03 월,54549
전국,출생아수(명),2001.04 월,48309
전국,출생아수(명),2001.05 월,46802
전국,출생아수(명),2001.06 월,41809
전국,출생아수(명),2001.07 월,42404
전국,출생아수(명),2001.08 월,43830
전국,출생아수(명),2001.09 월,45673
전국,출생아수(명),2001.10 월,44814
전국,출생아수(명),2001.11 월,42753
전국,출생아수(명),2001.12 월,42103
전국,출생아수(명),2002.01 월,48825
전국,출생아수(명),2002.02 월,43579
전국,출생아수(명),2002.03 월,47753
전국,출생아수(명),2002.04 월,43453
전국,출생아수(명),2002.05 월,41977
전국,출생아수(명),2002.06 월,37575
전국,출생아수(명),2002.07 월,40361
전국,출생아수(명),2002.08 월,39751
전국,출생아수(명),2002.09 월,39615
전국,출생아수(명),2002.10 월,39458
전국,출생아수(명),2002.11 월,37921
전국,출생아수(명),2002.12 월,36643
전국,출생아수(명),2003.01 월,45423
전국,출생아수(명),2003.02 월,41909
전국,출생아수(명),2003.03 월,45972
전국,출생아수(명),2003.04 월,43040
전국,출생아수(명),2003.05 월,41132
전국,출생아수(명),2003.06 월,36879
전국,출생아수(명),2003.07 월,38008
전국,출생아수(명),2003.08 월,38054
전국,출생아수(명),2003.09 월,41645
전국,출생아수(명),2003.10 월,43345
전국,출생아수(명),2003.11 월,40752
전국,출생아수(명),2003.12 월,38877
전국,출생아수(명),2004.01 월,45778
전국,출생아수(명),2004.02 월,41059
전국,출생아수(명),2004.03 월,45422
전국,출생아수(명),2004.04 월,40611
전국,출생아수(명),2004.05 월,38933
전국,출생아수(명),2004.06 월,36086
전국,출생아수(명),2004.07 월,38031
전국,출생아수(명),2004.08 월,38324
전국,출생아수(명),2004.09 월,39238
전국,출생아수(명),2004.10 월,40855
전국,출생아수(명),2004.11 월,37432
전국,출생아수(명),2004.12 월,35189
전국,출생아수(명),2005.01 월,41354
전국,출생아수(명),2005.02 월,35810
전국,출생아수(명),2005.03 월,41052
전국,출생아수(명),2005.04 월,36605
전국,출생아수(명),2005.05 월,35983
전국,출생아수(명),2005.06 월,33725
전국,출생아수(명),2005.07 월,34658
전국,출생아수(명),2005.08 월,36003
전국,출생아수(명),2005.09 월,37413
전국,출생아수(명),2005.10 월,37283
전국,출생아수(명),2005.11 월,35737
전국,출생아수(명),2005.12 월,33084
전국,출생아수(명),2006.01 월,40692
전국,출생아수(명),2006.02 월,37522
전국,출생아수(명),2006.03 월,41209
전국,출생아수(명),2006.04 월,37666
전국,출생아수(명),2006.05 월,37740
전국,출생아수(명),2006.06 월,35347
전국,출생아수(명),2006.07 월,35154
전국,출생아수(명),2006.08 월,37457
전국,출생아수(명),2006.09 월,38471
전국,출생아수(명),2006.10 월,38556
전국,출생아수(명),2006.11 월,37110
전국,출생아수(명),2006.12 월,34835
전국,출생아수(명),2007.01 월,43704
전국,출생아수(명),2007.02 월,39485
전국,출생아수(명),2007.03 월,43578
전국,출생아수(명),2007.04 월,40290
전국,출생아수(명),2007.05 월,39913
전국,출생아수(명),2007.06 월,37112
전국,출생아수(명),2007.07 월,39522
전국,출생아수(명),2007.08 월,44041
전국,출생아수(명),2007.09 월,44871
