"○ 월.분기.연간 인구동향(출생,사망,혼인,이혼) [명, 건]",,,
행정구역별,종류별,시점,"출생,사망,혼인,이혼"
전국,조사망률(천명당),2009.08 월,4.7
전국,조사망률(천명당),2009.09 월,4.7
전국,조사망률(천명당),2009.10 월,5
전국,조사망률(천명당),2009.11 월,5.2
전국,조사망률(천명당),2009.12 월,5.1
전국,조사망률(천명당),2010.01 월,5.2
전국,조사망률(천명당),2010.02 월,5.1
전국,조사망률(천명당),2010.03 월,5.1
전국,조사망률(천명당),2010.04 월,5.1
전국,조사망률(천명당),2010.05 월,5.1
전국,조사망률(천명당),2010.06 월,5
전국,조사망률(천명당),2010.07 월,4.9
전국,조사망률(천명당),2010.08 월,4.8
전국,조사망률(천명당),2010.09 월,5
전국,조사망률(천명당),2010.10 월,5.4
전국,조사망률(천명당),2010.11 월,5.4
전국,조사망률(천명당),2010.12 월,5.4
전국,조사망률(천명당),2011.01 월,5.6
전국,조사망률(천명당),2011.02 월,5.4
전국,조사망률(천명당),2011.03 월,5.2
전국,조사망률(천명당),2011.04 월,5.2
전국,조사망률(천명당),2011.05 월,5.1
전국,조사망률(천명당),2011.06 월,5
전국,조사망률(천명당),2011.07 월,4.8
전국,조사망률(천명당),2011.08 월,4.9
전국,조사망률(천명당),2011.09 월,4.9
전국,조사망률(천명당),2011.10 월,5.1
전국,조사망률(천명당),2011.11 월,5.2
전국,조사망률(천명당),2011.12 월,5.3
전국,조사망률(천명당),2012.01 월,5.6
전국,조사망률(천명당),2012.02 월,6.3
전국,조사망률(천명당),2012.03 월,5.6
전국,조사망률(천명당),2012.04 월,5.4
전국,조사망률(천명당),2012.05 월,5.1
전국,조사망률(천명당),2012.06 월,4.9
전국,조사망률(천명당),2012.07 월,4.8
전국,조사망률(천명당),2012.08 월,5
전국,조사망률(천명당),2012.09 월,4.9
전국,조사망률(천명당),2012.10 월,5.4
전국,조사망률(천명당),2012.11 월,5.3
전국,조사망률(천명당),2012.12 월,5.4
전국,조사망률(천명당),2013.01 월,5.6
전국,조사망률(천명당),2013.02 월,5.7
전국,조사망률(천명당),2013.03 월,5.6
전국,조사망률(천명당),2013.04 월,5.4
전국,조사망률(천명당),2013.05 월,5.1
전국,조사망률(천명당),2013.06 월,4.9
전국,조사망률(천명당),2013.07 월,4.8
전국,조사망률(천명당),2013.08 월,4.9
전국,조사망률(천명당),2013.09 월,5.1
전국,조사망률(천명당),2013.10 월,5.3
전국,조사망률(천명당),2013.11 월,5.5
전국,조사망률(천명당),2013.12 월,5.4
전국,조사망률(천명당),2014.01 월,5.4
전국,조사망률(천명당),2014.02 월,5.9
전국,조사망률(천명당),2014.03 월,5.6
전국,조사망률(천명당),2014.04 월,5.2
전국,조사망률(천명당),2014.05 월,5.1
전국,조사망률(천명당),2014.06 월,4.9
전국,조사망률(천명당),2014.07 월,4.8
전국,조사망률(천명당),2014.08 월,4.9
전국,조사망률(천명당),2014.09 월,5.1
전국,조사망률(천명당),2014.10 월,5.2
전국,조사망률(천명당),2014.11 월,5.4
전국,조사망률(천명당),2014.12 월,5.6
전국,조사망률(천명당),2015.01 월,5.7
전국,조사망률(천명당),2015.02 월,5.9
전국,조사망률(천명당),2015.03 월,6.1
전국,조사망률(천명당),2015.04 월,5.6
전국,조사망률(천명당),2015.05 월,5.3
전국,조사망률(천명당),2015.06 월,5.1
전국,조사망률(천명당),2015.07 월,5
전국,조사망률(천명당),2015.08 월,5
전국,조사망률(천명당),2015.09 월,5.1
전국,조사망률(천명당),2015.10 월,5.3
전국,조사망률(천명당),2015.11 월,5.4
전국,조사망률(천명당),2015.12 월,5.4
전국,조사망률(천명당),2016.01 월,5.7
전국,조사망률(천명당),2016.02 월,6.1
전국,조사망률(천명당),2016.03 월,5.8
전국,조사망률(천명당),2016.04 월,5.5
전국,조사망률(천명당),2016.05 월,5.3
전국,조사망률(천명당),2016.06 월,5.1
전국,조사망률(천명당),2016.07 월,5.1
전국,조사망률(천명당),2016.08 월,5.2
전국,조사망률(천명당),2016.09 월,5.3
전국,조사망률(천명당),2016.10 월,5.4
전국,조사망률(천명당),2016.11 월,5.6
전국,조사망률(천명당),2016.12 월,5.8
전국,조사망률(천명당),2017.01 월,6
전국,조사망률(천명당),2017.02 월,5.8
전국,조사망률(천명당),2017.03 월,5.6
전국,조사망률(천명당),2017.04 월,5.5
전국,조사망률(천명당),2017.05 월,5.5
전국,조사망률(천명당),2017.06 월,5.2
전국,조사망률(천명당),2017.07 월,5.1
전국,조사망률(천명당),2017.08 월,5.2
전국,조사망률(천명당),2017.09 월,5.4
전국,조사망률(천명당),2017.10 월,5.7
전국,조사망률(천명당),2017.11 월,5.8
전국,조사망률(천명당),2017.12 월,6.2
전국,조사망률(천명당),2018.01 월,7.2
전국,조사망률(천명당),2018.02 월,6.4
전국,조사망률(천명당),2018.03 월,5.8
전국,조사망률(천명당),2018.04 월,5.7
전국,조사망률(천명당),2018.05 월,5.5
전국,조사망률(천명당),2018.06 월,5.4
전국,조사망률(천명당),2018.07 월,5.5
전국,조사망률(천명당),2018.08 월,5.5
전국,조사망률(천명당),2018.09 월,5.4
전국,조사망률(천명당),2018.10 월,5.7
전국,조사망률(천명당),2018.11 월,5.7
전국,조사망률(천명당),2018.12 월,6.1
전국,조사망률(천명당),2019.01 월,6.3
전국,조사망률(천명당),2019.02 월,5.8
전국,조사망률(천명당),2019.03 월,5.7
전국,조사망률(천명당),2019.04 월,5.6
전국,조사망률(천명당),2019.05 월,5.7
전국,조사망률(천명당),2019.06 월,5.5
전국,조사망률(천명당),2019.07 월,5.3
전국,조사망률(천명당),2019.08 월,5.4
전국,조사망률(천명당),2019.09 월,5.6
전국,조사망률(천명당),2019.10 월,5.9
전국,조사망률(천명당),2019.11 월,6
전국,조사망률(천명당),2019.12 월,6.1
전국,조사망률(천명당),2020.01 월,6.5
전국,조사망률(천명당),2020.02 월,6.2
전국,조사망률(천명당),2020.03 월,5.9
전국,조사망률(천명당),2020.04 월,5.9
전국,조사망률(천명당),2020.05 월,5.6
전국,조사망률(천명당),2020.06 월,5.6
전국,조사망률(천명당),2020.07 월,5.5
전국,조사망률(천명당),2020.08 월,5.8
전국,조사망률(천명당),2020.09 월,5.8
전국,조사망률(천명당),2020.10 월,6.1
전국,조사망률(천명당),2020.11 월,6.1
전국,조사망률(천명당),2020.12 월,6.2
전국,조사망률(천명당),2021.01 월,6.2
전국,조사망률(천명당),2021.02 월,6
전국,조사망률(천명당),2021.03 월,6.1
전국,조사망률(천명당),2021.04 월,5.9
전국,조사망률(천명당),2021.05 월,5.9
전국,조사망률(천명당),2021.06 월,5.8
전국,조사망률(천명당),2021.07 월,5.9
전국,조사망률(천명당),2021.08 월,5.9
전국,조사망률(천명당),2021.09 월,6.1
전국,조사망률(천명당),2021.10 월,6.4
전국,조사망률(천명당),2021.11 월,6.7
전국,조사망률(천명당),2021.12 월,7.3
전국,조사망률(천명당),2022.01 월,6.8
전국,조사망률(천명당),2022.02 월,7.4
전국,조사망률(천명당),2022.03 월,10.2
전국,조사망률(천명당),2022.04 월,8.7
전국,조사망률(천명당),2022.05 월,6.6
전국,조사망률(천명당),2022.06 월,5.9
전국,조사망률(천명당),2022.07 월,6
전국,조사망률(천명당),2022.08 월,6.9
전국,조사망률(천명당),2022.09 월,6.9
전국,조사망률(천명당),2022.10 월,6.8
전국,조사망률(천명당),2022.11 월,7.2
전국,조사망률(천명당),2022.12 월,7.7
전국,자연증가건수(명),1983.01 월,63576
전국,자연증가건수(명),1983.02 월,69323
전국,자연증가건수(명),1983.03 월,38537
전국,자연증가건수(명),1983.04 월,34814
전국,자연증가건수(명),1983.05 월,39168
전국,자연증가건수(명),1983.06 월,37629
전국,자연증가건수(명),1983.07 월,39564
전국,자연증가건수(명),1983.08 월,38928
전국,자연증가건수(명),1983.09 월,36983
전국,자연증가건수(명),1983.10 월,40106
전국,자연증가건수(명),1983.11 월,39546
전국,자연증가건수(명),1983.12 월,36418
전국,자연증가건수(명),1984.01 월,56042
전국,자연증가건수(명),1984.02 월,65958
전국,자연증가건수(명),1984.03 월,30286
전국,자연증가건수(명),1984.04 월,30160
전국,자연증가건수(명),1984.05 월,30125
전국,자연증가건수(명),1984.06 월,29523
전국,자연증가건수(명),1984.07 월,32641
전국,자연증가건수(명),1984.08 월,33848
전국,자연증가건수(명),1984.09 월,33027
전국,자연증가건수(명),1984.10 월,34681
전국,자연증가건수(명),1984.11 월,33586
전국,자연증가건수(명),1984.12 월,28471
전국,자연증가건수(명),1985.01 월,49341
전국,자연증가건수(명),1985.02 월,56519
전국,자연증가건수(명),1985.03 월,27291
전국,자연증가건수(명),1985.04 월,24089
전국,자연증가건수(명),1985.05 월,27973
전국,자연증가건수(명),1985.06 월,28300
전국,자연증가건수(명),1985.07 월,31527
전국,자연증가건수(명),1985.08 월,33841
전국,자연증가건수(명),1985.09 월,33254
전국,자연증가건수(명),1985.10 월,36020
전국,자연증가건수(명),1985.11 월,35147
전국,자연증가건수(명),1985.12 월,31769
전국,자연증가건수(명),1986.01 월,46784
전국,자연증가건수(명),1986.02 월,53401
전국,자연증가건수(명),1986.03 월,26449
전국,자연증가건수(명),1986.04 월,26988
전국,자연증가건수(명),1986.05 월,29305
전국,자연증가건수(명),1986.06 월,27658
전국,자연증가건수(명),1986.07 월,30728
전국,자연증가건수(명),1986.08 월,31645
전국,자연증가건수(명),1986.09 월,32519
전국,자연증가건수(명),1986.10 월,32391
전국,자연증가건수(명),1986.11 월,30658
전국,자연증가건수(명),1986.12 월,28237
전국,자연증가건수(명),1987.01 월,46439
전국,자연증가건수(명),1987.02 월,53126
전국,자연증가건수(명),1987.03 월,23928
전국,자연증가건수(명),1987.04 월,26420
전국,자연증가건수(명),1987.05 월,28086
전국,자연증가건수(명),1987.06 월,27212
전국,자연증가건수(명),1987.07 월,28380
전국,자연증가건수(명),1987.08 월,27938
전국,자연증가건수(명),1987.09 월,29765
전국,자연증가건수(명),1987.10 월,33285
전국,자연증가건수(명),1987.11 월,30183
전국,자연증가건수(명),1987.12 월,25565
전국,자연증가건수(명),1988.01 월,48308
전국,자연증가건수(명),1988.02 월,52532
전국,자연증가건수(명),1988.03 월,21385
전국,자연증가건수(명),1988.04 월,23942
전국,자연증가건수(명),1988.05 월,27602
전국,자연증가건수(명),1988.06 월,26643
전국,자연증가건수(명),1988.07 월,28543
전국,자연증가건수(명),1988.08 월,30862
전국,자연증가건수(명),1988.09 월,35200
전국,자연증가건수(명),1988.10 월,35856
전국,자연증가건수(명),1988.11 월,34838
전국,자연증가건수(명),1988.12 월,31602
전국,자연증가건수(명),1989.01 월,46403
전국,자연증가건수(명),1989.02 월,54756
전국,자연증가건수(명),1989.03 월,23430
전국,자연증가건수(명),1989.04 월,25951
전국,자연증가건수(명),1989.05 월,28900
전국,자연증가건수(명),1989.06 월,26403
전국,자연증가건수(명),1989.07 월,29238
전국,자연증가건수(명),1989.08 월,31392
전국,자연증가건수(명),1989.09 월,34822
전국,자연증가건수(명),1989.10 월,33620
전국,자연증가건수(명),1989.11 월,33713
전국,자연증가건수(명),1989.12 월,33985
전국,자연증가건수(명),1990.01 월,44435
전국,자연증가건수(명),1990.02 월,60035
전국,자연증가건수(명),1990.03 월,24838
전국,자연증가건수(명),1990.04 월,29536
전국,자연증가건수(명),1990.05 월,31541
전국,자연증가건수(명),1990.06 월,28610
전국,자연증가건수(명),1990.07 월,31308
전국,자연증가건수(명),1990.08 월,31637
전국,자연증가건수(명),1990.09 월,34002
전국,자연증가건수(명),1990.10 월,32559
전국,자연증가건수(명),1990.11 월,31607
전국,자연증가건수(명),1990.12 월,28014
전국,자연증가건수(명),1991.01 월,47985
전국,자연증가건수(명),1991.02 월,51965
전국,자연증가건수(명),1991.03 월,31746
전국,자연증가건수(명),1991.04 월,33550
전국,자연증가건수(명),1991.05 월,34686
전국,자연증가건수(명),1991.06 월,31950
전국,자연증가건수(명),1991.07 월,36129
전국,자연증가건수(명),1991.08 월,36565
전국,자연증가건수(명),1991.09 월,40205
전국,자연증가건수(명),1991.10 월,42124
전국,자연증가건수(명),1991.11 월,40095
전국,자연증가건수(명),1991.12 월,40005
전국,자연증가건수(명),1992.01 월,50317
전국,자연증가건수(명),1992.02 월,51682
전국,자연증가건수(명),1992.03 월,37642
전국,자연증가건수(명),1992.04 월,38804
전국,자연증가건수(명),1992.05 월,37422
전국,자연증가건수(명),1992.06 월,36118
전국,자연증가건수(명),1992.07 월,37864
전국,자연증가건수(명),1992.08 월,38714
전국,자연증가건수(명),1992.09 월,41882
전국,자연증가건수(명),1992.10 월,42053
전국,자연증가건수(명),1992.11 월,40587
전국,자연증가건수(명),1992.12 월,41431
전국,자연증가건수(명),1993.01 월,48858
전국,자연증가건수(명),1993.02 월,51376
전국,자연증가건수(명),1993.03 월,42136
전국,자연증가건수(명),1993.04 월,39043
전국,자연증가건수(명),1993.05 월,36857
전국,자연증가건수(명),1993.06 월,34944
전국,자연증가건수(명),1993.07 월,37324
전국,자연증가건수(명),1993.08 월,37751
전국,자연증가건수(명),1993.09 월,39704
전국,자연증가건수(명),1993.10 월,38282
전국,자연증가건수(명),1993.11 월,38249
전국,자연증가건수(명),1993.12 월,37045
전국,자연증가건수(명),1994.01 월,48538
전국,자연증가건수(명),1994.02 월,48501
전국,자연증가건수(명),1994.03 월,42350
전국,자연증가건수(명),1994.04 월,40543
전국,자연증가건수(명),1994.05 월,39665
전국,자연증가건수(명),1994.06 월,35913
전국,자연증가건수(명),1994.07 월,34587
전국,자연증가건수(명),1994.08 월,36573
전국,자연증가건수(명),1994.09 월,39334
전국,자연증가건수(명),1994.10 월,38507
전국,자연증가건수(명),1994.11 월,38239
전국,자연증가건수(명),1994.12 월,35996
전국,자연증가건수(명),1995.01 월,46581
전국,자연증가건수(명),1995.02 월,46185
전국,자연증가건수(명),1995.03 월,42638
전국,자연증가건수(명),1995.04 월,34780
전국,자연증가건수(명),1995.05 월,35265
전국,자연증가건수(명),1995.06 월,34040
전국,자연증가건수(명),1995.07 월,35230
전국,자연증가건수(명),1995.08 월,37873
전국,자연증가건수(명),1995.09 월,40016
전국,자연증가건수(명),1995.10 월,40728
전국,자연증가건수(명),1995.11 월,38769
전국,자연증가건수(명),1995.12 월,40077
전국,자연증가건수(명),1996.01 월,46514
전국,자연증가건수(명),1996.02 월,43614
전국,자연증가건수(명),1996.03 월,42071
전국,자연증가건수(명),1996.04 월,36002
전국,자연증가건수(명),1996.05 월,34282
전국,자연증가건수(명),1996.06 월,31238
전국,자연증가건수(명),1996.07 월,32734
전국,자연증가건수(명),1996.08 월,34644
전국,자연증가건수(명),1996.09 월,38865
전국,자연증가건수(명),1996.10 월,39745
전국,자연증가건수(명),1996.11 월,35450
전국,자연증가건수(명),1996.12 월,34918
전국,자연증가건수(명),1997.01 월,40896
전국,자연증가건수(명),1997.02 월,38990
전국,자연증가건수(명),1997.03 월,41324
전국,자연증가건수(명),1997.04 월,36746
전국,자연증가건수(명),1997.05 월,34524
전국,자연증가건수(명),1997.06 월,31267
전국,자연증가건수(명),1997.07 월,33790
전국,자연증가건수(명),1997.08 월,33681
전국,자연증가건수(명),1997.09 월,36359
전국,자연증가건수(명),1997.10 월,35609
전국,자연증가건수(명),1997.11 월,33654
전국,자연증가건수(명),1997.12 월,33861
전국,자연증가건수(명),1998.01 월,39869
전국,자연증가건수(명),1998.02 월,37746
전국,자연증가건수(명),1998.03 월,39436
전국,자연증가건수(명),1998.04 월,34476
전국,자연증가건수(명),1998.05 월,31670
전국,자연증가건수(명),1998.06 월,30105
전국,자연증가건수(명),1998.07 월,30842
전국,자연증가건수(명),1998.08 월,29430
전국,자연증가건수(명),1998.09 월,33578
전국,자연증가건수(명),1998.10 월,31436
전국,자연증가건수(명),1998.11 월,29047
전국,자연증가건수(명),1998.12 월,28134
전국,자연증가건수(명),1999.01 월,35414
전국,자연증가건수(명),1999.02 월,34440
전국,자연증가건수(명),1999.03 월,36443
전국,자연증가건수(명),1999.04 월,32077
전국,자연증가건수(명),1999.05 월,29728
전국,자연증가건수(명),1999.06 월,26881
전국,자연증가건수(명),1999.07 월,29552
전국,자연증가건수(명),1999.08 월,28581
전국,자연증가건수(명),1999.09 월,31473
전국,자연증가건수(명),1999.10 월,30429
전국,자연증가건수(명),1999.11 월,29779
전국,자연증가건수(명),1999.12 월,28137
전국,자연증가건수(명),2000.01 월,37187
전국,자연증가건수(명),2000.02 월,36417
전국,자연증가건수(명),2000.03 월,38286
전국,자연증가건수(명),2000.04 월,32638
전국,자연증가건수(명),2000.05 월,32630
전국,자연증가건수(명),2000.06 월,27988
전국,자연증가건수(명),2000.07 월,29084
전국,자연증가건수(명),2000.08 월,30825
전국,자연증가건수(명),2000.09 월,32731
전국,자연증가건수(명),2000.10 월,32604
전국,자연증가건수(명),2000.11 월,31335
전국,자연증가건수(명),2000.12 월,29624
전국,자연증가건수(명),2001.01 월,35872
전국,자연증가건수(명),2001.02 월,30229
전국,자연증가건수(명),2001.03 월,32381
전국,자연증가건수(명),2001.04 월,27332
전국,자연증가건수(명),2001.05 월,26367
전국,자연증가건수(명),2001.06 월,23036
전국,자연증가건수(명),2001.07 월,22904
전국,자연증가건수(명),2001.08 월,24456
전국,자연증가건수(명),2001.09 월,26452
전국,자연증가건수(명),2001.10 월,23714
전국,자연증가건수(명),2001.11 월,22002
전국,자연증가건수(명),2001.12 월,21376
전국,자연증가건수(명),2002.01 월,28185
전국,자연증가건수(명),2002.02 월,25206
전국,자연증가건수(명),2002.03 월,26530
전국,자연증가건수(명),2002.04 월,22858
전국,자연증가건수(명),2002.05 월,21561
전국,자연증가건수(명),2002.06 월,18607
전국,자연증가건수(명),2002.07 월,21022
전국,자연증가건수(명),2002.08 월,19958
전국,자연증가건수(명),2002.09 월,19668
전국,자연증가건수(명),2002.10 월,17873
전국,자연증가건수(명),2002.11 월,15508
전국,자연증가건수(명),2002.12 월,12411
전국,자연증가건수(명),2003.01 월,23570
전국,자연증가건수(명),2003.02 월,22441
전국,자연증가건수(명),2003.03 월,25310
전국,자연증가건수(명),2003.04 월,22944
전국,자연증가건수(명),2003.05 월,20566
전국,자연증가건수(명),2003.06 월,17918
전국,자연증가건수(명),2003.07 월,18562
전국,자연증가건수(명),2003.08 월,18039
전국,자연증가건수(명),2003.09 월,21336
전국,자연증가건수(명),2003.10 월,21297
전국,자연증가건수(명),2003.11 월,19356
전국,자연증가건수(명),2003.12 월,17234
전국,자연증가건수(명),2004.01 월,24459
전국,자연증가건수(명),2004.02 월,20595
전국,자연증가건수(명),2004.03 월,23045
전국,자연증가건수(명),2004.04 월,19635
전국,자연증가건수(명),2004.05 월,18165
전국,자연증가건수(명),2004.06 월,17059
전국,자연증가건수(명),2004.07 월,18390
전국,자연증가건수(명),2004.08 월,18380
전국,자연증가건수(명),2004.09 월,19965
전국,자연증가건수(명),2004.10 월,19638
전국,자연증가건수(명),2004.11 월,17158
전국,자연증가건수(명),2004.12 월,14249
전국,자연증가건수(명),2005.01 월,19592
전국,자연증가건수(명),2005.02 월,16753
전국,자연증가건수(명),2005.03 월,19197
전국,자연증가건수(명),2005.04 월,15518
전국,자연증가건수(명),2005.05 월,14851
전국,자연증가건수(명),2005.06 월,14620
전국,자연증가건수(명),2005.07 월,15281
전국,자연증가건수(명),2005.08 월,16518
전국,자연증가건수(명),2005.09 월,18443
전국,자연증가건수(명),2005.10 월,16015
전국,자연증가건수(명),2005.11 월,14868
전국,자연증가건수(명),2005.12 월,11177
전국,자연증가건수(명),2006.01 월,19140
전국,자연증가건수(명),2006.02 월,18377
전국,자연증가건수(명),2006.03 월,19945
전국,자연증가건수(명),2006.04 월,17306
전국,자연증가건수(명),2006.05 월,17294
전국,자연증가건수(명),2006.06 월,16342
전국,자연증가건수(명),2006.07 월,15673
전국,자연증가건수(명),2006.08 월,17310
전국,자연증가건수(명),2006.09 월,18741
전국,자연증가건수(명),2006.10 월,18089
전국,자연증가건수(명),2006.11 월,16199
전국,자연증가건수(명),2006.12 월,13181
전국,자연증가건수(명),2007.01 월,20981
전국,자연증가건수(명),2007.02 월,20040
전국,자연증가건수(명),2007.03 월,22761
전국,자연증가건수(명),2007.04 월,19836
전국,자연증가건수(명),2007.05 월,19397
전국,자연증가건수(명),2007.06 월,17991
전국,자연증가건수(명),2007.07 월,20108
전국,자연증가건수(명),2007.08 월,24429
전국,자연증가건수(명),2007.09 월,25014
전국,자연증가건수(명),2007.10 월,24191
전국,자연증가건수(명),2007.11 월,20695
전국,자연증가건수(명),2007.12 월,14897
전국,자연증가건수(명),2008.01 월,24902
전국,자연증가건수(명),2008.02 월,18439
전국,자연증가건수(명),2008.03 월,18709
전국,자연증가건수(명),2008.04 월,18524
전국,자연증가건수(명),2008.05 월,17281
전국,자연증가건수(명),2008.06 월,16234
전국,자연증가건수(명),2008.07 월,18775
전국,자연증가건수(명),2008.08 월,18473
전국,자연증가건수(명),2008.09 월,21356
전국,자연증가건수(명),2008.10 월,18449
전국,자연증가건수(명),2008.11 월,15557
전국,자연증가건수(명),2008.12 월,13080
전국,자연증가건수(명),2009.01 월,21375
전국,자연증가건수(명),2009.02 월,17374
전국,자연증가건수(명),2009.03 월,18808
전국,자연증가건수(명),2009.04 월,16615
전국,자연증가건수(명),2009.05 월,14500
전국,자연증가건수(명),2009.06 월,14496
전국,자연증가건수(명),2009.07 월,16459
전국,자연증가건수(명),2009.08 월,16419
전국,자연증가건수(명),2009.09 월,19039
전국,자연증가건수(명),2009.10 월,16793
전국,자연증가건수(명),2009.11 월,14100
전국,자연증가건수(명),2009.12 월,11929
전국,자연증가건수(명),2010.01 월,20903
전국,자연증가건수(명),2010.02 월,17272
전국,자연증가건수(명),2010.03 월,19422
전국,자연증가건수(명),2010.04 월,17358
전국,자연증가건수(명),2010.05 월,15522
전국,자연증가건수(명),2010.06 월,15562
전국,자연증가건수(명),2010.07 월,16487
전국,자연증가건수(명),2010.08 월,17916
전국,자연증가건수(명),2010.09 월,21809
전국,자연증가건수(명),2010.10 월,20733
전국,자연증가건수(명),2010.11 월,19272
전국,자연증가건수(명),2010.12 월,12510
전국,자연증가건수(명),2011.01 월,23905
전국,자연증가건수(명),2011.02 월,17291
전국,자연증가건수(명),2011.03 월,21036
전국,자연증가건수(명),2011.04 월,19130
전국,자연증가건수(명),2011.05 월,17291
전국,자연증가건수(명),2011.06 월,16173
전국,자연증가건수(명),2011.07 월,17946
전국,자연증가건수(명),2011.08 월,18538
전국,자연증가건수(명),2011.09 월,18706
전국,자연증가건수(명),2011.10 월,16489
전국,자연증가건수(명),2011.11 월,15976
전국,자연증가건수(명),2011.12 월,11388
전국,자연증가건수(명),2012.01 월,20987
전국,자연증가건수(명),2012.02 월,15624
전국,자연증가건수(명),2012.03 월,19154
전국,자연증가건수(명),2012.04 월,17969
전국,자연증가건수(명),2012.05 월,17748
전국,자연증가건수(명),2012.06 월,17897
전국,자연증가건수(명),2012.07 월,19681
전국,자연증가건수(명),2012.08 월,20277
전국,자연증가건수(명),2012.09 월,21371
전국,자연증가건수(명),2012.10 월,18980
전국,자연증가건수(명),2012.11 월,16564
전국,자연증가건수(명),2012.12 월,11077
전국,자연증가건수(명),2013.01 월,20317
전국,자연증가건수(명),2013.02 월,14742
전국,자연증가건수(명),2013.03 월,14319
전국,자연증가건수(명),2013.04 월,14479
전국,자연증가건수(명),2013.05 월,13680
전국,자연증가건수(명),2013.06 월,12858
전국,자연증가건수(명),2013.07 월,15669
전국,자연증가건수(명),2013.08 월,15148
전국,자연증가건수(명),2013.09 월,15912
전국,자연증가건수(명),2013.10 월,13337
전국,자연증가건수(명),2013.11 월,11025
전국,자연증가건수(명),2013.12 월,8712
전국,자연증가건수(명),2014.01 월,17842
전국,자연증가건수(명),2014.02 월,13619
전국,자연증가건수(명),2014.03 월,13790
전국,자연증가건수(명),2014.04 월,15362
전국,자연증가건수(명),2014.05 월,13565
전국,자연증가건수(명),2014.06 월,13577
전국,자연증가건수(명),2014.07 월,15536
전국,자연증가건수(명),2014.08 월,15565
전국,자연증가건수(명),2014.09 월,16726
전국,자연증가건수(명),2014.10 월,13838
전국,자연증가건수(명),2014.11 월,9888
전국,자연증가건수(명),2014.12 월,8435
전국,자연증가건수(명),2015.01 월,17154
전국,자연증가건수(명),2015.02 월,12500
전국,자연증가건수(명),2015.03 월,13836
전국,자연증가건수(명),2015.04 월,14462
전국,자연증가건수(명),2015.05 월,13599
전국,자연증가건수(명),2015.06 월,14175
전국,자연증가건수(명),2015.07 월,15078
전국,자연증가건수(명),2015.08 월,13711
전국,자연증가건수(명),2015.09 월,15069
전국,자연증가건수(명),2015.10 월,13652
전국,자연증가건수(명),2015.11 월,10789
전국,자연증가건수(명),2015.12 월,8500
전국,자연증가건수(명),2016.01 월,14697
전국,자연증가건수(명),2016.02 월,10229
전국,자연증가건수(명),2016.03 월,12923
전국,자연증가건수(명),2016.04 월,12317
전국,자연증가건수(명),2016.05 월,11216
전국,자연증가건수(명),2016.06 월,11499
전국,자연증가건수(명),2016.07 월,11867
전국,자연증가건수(명),2016.08 월,11293
전국,자연증가건수(명),2016.09 월,12294
전국,자연증가건수(명),2016.10 월,7982
전국,자연증가건수(명),2016.11 월,7033
전국,자연증가건수(명),2016.12 월,2066
전국,자연증가건수(명),2017.01 월,8932
전국,자연증가건수(명),2017.02 월,7615
전국,자연증가건수(명),2017.03 월,8966
전국,자연증가건수(명),2017.04 월,7195
전국,자연증가건수(명),2017.05 월,6537
전국,자연증가건수(명),2017.06 월,6906
전국,자연증가건수(명),2017.07 월,7173
전국,자연증가건수(명),2017.08 월,7289
전국,자연증가건수(명),2017.09 월,7463
전국,자연증가건수(명),2017.10 월,3233
전국,자연증가건수(명),2017.11 월,2664
전국,자연증가건수(명),2017.12 월,-1736
전국,자연증가건수(명),2018.01 월,648
전국,자연증가건수(명),2018.02 월,2574
전국,자연증가건수(명),2018.03 월,4735
전국,자연증가건수(명),2018.04 월,3771
전국,자연증가건수(명),2018.05 월,3953
전국,자연증가건수(명),2018.06 월,3761
전국,자연증가건수(명),2018.07 월,3147
전국,자연증가건수(명),2018.08 월,3444
전국,자연증가건수(명),2018.09 월,3160
전국,자연증가건수(명),2018.10 월,1464
전국,자연증가건수(명),2018.11 월,1101
전국,자연증가건수(명),2018.12 월,-3756
전국,자연증가건수(명),2019.01 월,2905
전국,자연증가건수(명),2019.02 월,2792
전국,자연증가건수(명),2019.03 월,2064
전국,자연증가건수(명),2019.04 월,2271
전국,자연증가건수(명),2019.05 월,543
전국,자연증가건수(명),2019.06 월,936
전국,자연증가건수(명),2019.07 월,2006
전국,자연증가건수(명),2019.08 월,664
전국,자연증가건수(명),2019.09 월,520
전국,자연증가건수(명),2019.10 월,44
전국,자연증가건수(명),2019.11 월,-1685
전국,자연증가건수(명),2019.12 월,-5494
전국,자연증가건수(명),2020.01 월,-1784
전국,자연증가건수(명),2020.02 월,-2664
전국,자연증가건수(명),2020.03 월,-1660
전국,자연증가건수(명),2020.04 월,-1375
전국,자연증가건수(명),2020.05 월,-1499
전국,자연증가건수(명),2020.06 월,-1521
전국,자연증가건수(명),2020.07 월,-990
전국,자연증가건수(명),2020.08 월,-2887
전국,자연증가건수(명),2020.09 월,-853
전국,자연증가건수(명),2020.10 월,-4604
전국,자연증가건수(명),2020.11 월,-5549
전국,자연증가건수(명),2020.12 월,-7225
전국,자연증가건수(명),2021.01 월,-2329
전국,자연증가건수(명),2021.02 월,-2481
전국,자연증가건수(명),2021.03 월,-2634
전국,자연증가건수(명),2021.04 월,-2368
전국,자연증가건수(명),2021.05 월,-3645
전국,자연증가건수(명),2021.06 월,-2877
전국,자연증가건수(명),2021.07 월,-3368
전국,자연증가건수(명),2021.08 월,-3636
전국,자연증가건수(명),2021.09 월,-3757
